ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev
wnoise_162	cosine	24.0	0.0	22.1934139318	0.596793177502	5.5862651258	1.50791613684	-0.0562718009023	1.18711776723	3.24160720144	-2.31641148221	5.55801868365	-1.39940905419	-0.818577148058	10	0.791421550026	0.107067846763
wnoise_656	cosine	24.0	0.0	14.0	0.890255839607	18.0	-0.0	0.0420730110658	0.981072979387	2.40774199243	-1.49321118257	3.900953175	-1.61245912202	-0.827574602058	10	0.743646420951	0.117953542358
wnoise_697	cosine	24.0	0.0	12.3911159193	0.799572224589	2.3911159193	0.799572224589	0.125473651214	1.05358481656	1.59502729247	-2.10660119423	3.7016284867	-0.757156739889	-4.982379469	10	0.728279744311	0.104210271548
wnoise_250	cosine	24.0	0.0	11.3572685376	2.84949914173	19.504705029	1.95720135934	-0.0212645139537	1.14430308197	2.2511428308	-2.67343042666	4.92457325746	-0.842042795784	-1.52346941151	10	0.674902605934	0.0744846921856
wnoise_800	cosine	24.0	0.0	11.5862651258	1.50791613684	6.4433248048	2.91177179797	-0.183831611342	1.0574674251	1.63276007325	-2.59284843779	4.22560851104	-0.629716742966	-1.28255838763	10	0.665345287314	0.119884992147
wnoise_619	cosine	24.0	0.0	8.0	-0.0	6.0	-0.0	0.199515069966	0.898626447607	1.95056198331	-1.54996438831	3.50052637162	-1.25845599939	-3.03745526605	10	0.660917490638	0.068376481549
wnoise_268	cosine	24.0	0.0	21.4467984202	1.2665331064	6.39568810743	3.77838174454	0.125946455109	0.998936845962	1.44841125991	-1.5813699768	3.02978123671	-0.915921815362	-1.81222082715	10	0.659742833196	0.119656564159
wnoise_110	cosine	24.0	0.0	5.37342925631	1.57454874973	1.55079774665	4.23822397632	-0.0527141262789	0.745912763328	1.77775551692	-1.37314030414	3.15089582106	-1.29466414434	-1.47886150963	10	0.659105335356	0.106108602647
wnoise_85	cosine	24.0	0.0	4.88631241293	2.01821263057	21.6893293065	3.76365758427	0.123012877217	0.877200138154	1.94868348598	-1.20705826516	3.15574175114	-1.61440714357	-2.06238683105	10	0.657208754086	0.0889387568332
wnoise_65	cosine	24.0	0.0	13.6893293065	3.76365758427	16.9314464966	2.7419659261	-0.0700810480748	0.841402084315	1.66968585726	-1.63781071039	3.30749656765	-1.01946204569	-1.3684884657	10	0.653774827185	0.132395917572
wnoise_494	cosine	24.0	0.0	18.4806480773	1.72030900597	21.5978912618	1.20218489844	-0.105782691257	0.766688736268	1.14376518014	-1.57438067924	2.71814585938	-0.726485782773	-0.585985809772	10	0.651096873795	0.150166360631
wnoise_894	cosine	24.0	0.0	20.9086029602	2.60919051588	11.7954975139	1.40763329517	0.0277941999146	0.96556474354	1.40027023819	-2.24818333633	3.64845357452	-0.622845217097	-1.05745969205	10	0.647797350066	0.103894774255
wnoise_483	cosine	24.0	0.0	13.3194787519	2.20587486071	6.3911159193	0.799572224589	0.0285562366384	0.88734995622	1.34987415978	-2.05243767547	3.40231183525	-0.657693130424	-1.31712804897	10	0.64777652912	0.0700762072872
wnoise_506	cosine	24.0	0.0	0.11662075247	2.82877880088	10.0	3.39806974164	-0.154233827876	1.00058337609	2.07316781278	-2.17706917261	4.25023698539	-0.952274663048	-0.683966328704	10	0.638478084621	0.108457909111
wnoise_122	cosine	24.0	0.0	8.54024213785	2.51988829562	18.1934139318	0.596793177502	-0.262273451549	1.06157891999	2.60296968363	-2.1315534761	4.73452315973	-1.22116086357	-0.577042573233	10	0.638402031927	0.0614799547937
wnoise_602	cosine	24.0	0.0	9.80119615133	1.0758780706	6.19341393181	0.596793177502	-0.294546742995	1.00714227274	1.48519187335	-2.51251179032	3.99770366367	-0.591118369702	-0.405947744904	10	0.635793724162	0.0942214070906
wnoise_710	cosine	24.0	0.0	21.7954975139	1.40763329517	16.6989156392	1.77180102048	0.093132721572	1.10522397168	2.15141915393	-2.0365637897	4.18798294363	-1.05639664459	-2.16599705166	10	0.632693695329	0.0952521725383
wnoise_812	cosine	24.0	0.0	3.16773037247	2.07163824845	17.1693003996	2.95985362504	0.00663225509285	0.896150118641	1.99439000852	-2.01586581108	4.0102558196	-0.989346611048	-1.21059245646	10	0.627683839125	0.146798985646
wnoise_698	cosine	24.0	0.0	10.0	-0.0	12.0	-0.0	0.0246564693751	0.998840073037	2.22589589808	-1.94683842354	4.17273432162	-1.14333879544	-1.43804067738	10	0.627027977384	0.102818757087
wnoise_891	cosine	24.0	0.0	15.7136898804	2.56137199824	5.5566751952	2.91177179797	-0.163876970006	1.1457164932	2.47875663229	-1.86192694769	4.34068357998	-1.33128565294	-0.726868795681	10	0.6217574347	0.0933465002141
wnoise_738	cosine	24.0	0.0	17.8274697484	2.47509590889	0.726226309942	4.3096273641	0.158027359106	0.891479987564	2.17988731511	-1.74937083796	3.92925815307	-1.24609789292	-2.32953554169	10	0.619957172161	0.0858133345097
wnoise_604	cosine	24.0	0.0	0.614034314126	4.09126793203	6.4021087382	3.24758419626	-0.0793129466971	1.11238332923	2.47307828697	-1.92193745968	4.39501574665	-1.28676314337	-0.957408339023	10	0.619833512353	0.0953836443113
wnoise_361	cosine	24.0	0.0	9.2554909324	2.73088861497	22.9400917658	2.78972279463	-0.333863367697	1.0502025298	1.73782163844	-2.20199103769	3.93981267613	-0.789204682805	-0.543698500952	10	0.61804673835	0.0881928172627
wnoise_577	cosine	24.0	0.0	6.0	-0.0	8.0	-0.0	-0.165725006478	0.987971205172	1.68265595933	-1.95618314802	3.63883910735	-0.860173016536	-0.557678631823	10	0.613873399038	0.0631639972018
wnoise_227	cosine	24.0	0.0	23.5087160142	5.24308098603	6.27767068327	3.30071060722	-0.163139280072	0.969230039682	2.37580166665	-1.78640891252	4.16221057917	-1.32993160189	-0.869956535996	10	0.609224060858	0.157680117308
wnoise_515	cosine	24.0	0.0	9.43474536692	2.93257437853	1.1582439418	1.61053642225	0.000127158672071	0.815021935608	1.34977962334	-1.61604096708	2.96582059042	-0.835238493848	-1.03779799509	10	0.59949317017	0.111254262446
wnoise_539	cosine	24.0	0.0	3.29736030336	2.40603567521	19.8657178867	3.48072122471	0.230454611365	0.901638005332	1.56477047663	-1.14745368185	2.71222415848	-1.3636894468	-1.89218281321	10	0.599084621171	0.107843261096
wnoise_138	cosine	24.0	0.0	7.31947875186	2.20587486071	12.0	3.86084803747	-0.172129338352	1.20375704199	2.03885664153	-3.1192548334	5.15811147493	-0.653635804199	-0.992428738743	10	0.598133849027	0.0771777398323
wnoise_437	cosine	24.0	0.0	6.31947875186	1.9632237579	13.8745358686	3.18341902247	-0.0134392130219	0.854945695188	1.79029184145	-1.22313700979	3.01342885124	-1.46368871772	-1.0852047952	10	0.587775866924	0.0885182741457
wnoise_97	cosine	24.0	0.0	7.80119615133	1.0758780706	21.0	2.74282281146	0.147719181472	1.13961169093	2.47792598509	-2.10357882569	4.58150481078	-1.17795727682	-1.52363198175	10	0.584047121381	0.0812503920464
wnoise_752	cosine	24.0	0.0	14.0	2.55175245616	11.612164957	2.142827241	-0.0824457786958	0.880961991237	1.82088700515	-1.53140038092	3.35228738607	-1.18903392466	-1.18758271745	10	0.581748807349	0.0472575590209
wnoise_986	cosine	24.0	0.0	22.0	4.02980033221	9.25204612556	1.84211464391	-0.145651508314	0.956163856696	1.5249480668	-2.4476967766	3.9726448434	-0.62301347184	-0.642990494639	10	0.580646268965	0.118787571062
wnoise_906	cosine	24.0	0.0	14.9645326208	2.9182054569	5.75530023278	2.68549941893	-0.284781951645	0.780984305119	1.30739465369	-2.23546289357	3.54285754726	-0.584842923338	-0.422388897802	10	0.578268515189	0.139116076031
wnoise_766	cosine	24.0	0.0	19.4891428956	2.17443147181	11.4912839858	2.87665651149	-0.153702136995	0.712277383305	1.12873476389	-1.15392321031	2.2826579742	-0.978171470861	-0.81865974676	10	0.57779133756	0.127518594967
wnoise_562	cosine	24.0	0.0	12.9420499844	1.61725617811	18.0	-0.0	0.0552301330245	1.05643141059	2.26912478979	-1.98064234023	4.24976713002	-1.1456509556	-1.4345050583	10	0.577159491675	0.0718156969926
wnoise_626	cosine	24.0	0.0	21.9385722278	3.79858460242	11.4137348742	3.51951730142	-0.0077668895575	0.955819223276	2.81655643239	-1.65762474542	4.47418117781	-1.69915201868	-1.03601265951	10	0.575659776949	0.118443686941
wnoise_678	cosine	24.0	0.0	2.71975419885	2.54619685315	6.1491991413	1.37439001575	0.353833661194	0.969695784236	2.21760755641	-1.2666644361	3.48427199251	-1.75074589071	-3.03409437196	10	0.572305961329	0.0603488756703
wnoise_262	cosine	24.0	0.0	20.8417560582	1.61053642225	6.50871601416	4.16853778523	0.159918686658	0.75410503183	1.40328576884	-1.40442873914	2.80771450798	-0.99918616711	-2.78629316655	10	0.569135861088	0.0731813812148
wnoise_1	cosine	24.0	0.0	0.0	-0.0	2.19341393181	0.596793177502	-0.206938513598	1.09800608938	2.2371620568	-2.38793516458	4.62509722138	-0.936860468401	-0.569715334883	10	0.563937791433	0.0831783261549
wnoise_165	cosine	24.0	0.0	0.93857222784	2.07751149755	12.2973603034	5.00037530705	-0.0238844236656	1.09468539996	1.46512708563	-2.42420584722	3.88933293285	-0.604374041631	-1.01627679826	10	0.563937470186	0.0951953695041
wnoise_666	cosine	24.0	0.0	6.18964976907	2.98072080064	22.0	1.98907853562	0.121025650541	0.98242277553	2.99098453119	-1.7769769206	4.76796145179	-1.68318704453	-2.29955652215	10	0.561048798074	0.158683961641
wnoise_467	cosine	24.0	0.0	16.7710034118	4.94911493045	8.56088162976	2.23958448993	0.10800731358	0.882649260036	1.56383923471	-1.53207581669	3.0959150514	-1.02073227557	-5.44672522932	10	0.560360229016	0.0884475977964
wnoise_944	cosine	24.0	0.0	0.783941722725	1.603798549	8.37914494824	1.98309285028	0.215101934159	0.942250261141	2.26894744461	-1.19871546371	3.46766290832	-1.89281569588	-1.38626745533	10	0.556800317013	0.103566336807
wnoise_993	cosine	24.0	0.0	21.1745425743	2.01386029309	0.247809420201	4.08429203069	0.0253902531229	1.14307405504	2.67222428068	-1.66077522018	4.33299950086	-1.6090222495	-1.17197154291	10	0.555481502642	0.126130392306
wnoise_735	cosine	24.0	0.0	12.1136875871	4.82575670369	23.6856664031	3.8087254657	-0.197013959775	0.96075880479	2.09221105405	-1.9987464569	4.09095751095	-1.04676160742	-0.640060566238	10	0.551866435475	0.0937962731971
wnoise_216	cosine	24.0	0.0	22.6057538296	2.53101163367	1.54024213785	5.05614305211	0.443984900714	1.0769176088	2.38352938954	-2.0069982643	4.39052765384	-1.18760909361	-4.15307011142	10	0.550206142169	0.0587544608781
wnoise_504	cosine	24.0	0.0	4.79549751387	0.984781760655	1.6427314624	1.4845227802	0.00541184233013	0.944462334884	2.09662291623	-1.42201185482	3.51863477105	-1.47440607413	-0.892138904795	10	0.549810125558	0.0931419306427
wnoise_151	cosine	24.0	0.0	17.2289965882	4.94911493045	2.20450248613	1.40763329517	-0.0315770904223	1.17015981195	2.29520792887	-2.82411176765	5.11931969652	-0.812718517433	-1.16590980404	10	0.548142687212	0.145664703328
