ID	Waveform	PeriodMean	PeriodStdDev	PhaseMean	PhaseStdDev	NadirMean	NadirStdDev	Mean	Std_Dev	Max	Min	Max_Amp	FC	IQR_FC	NumBoots	TauMean	TauStdDev	empP	GammaP	GammaBH
5	cosine	24.0	0.0	20.0	5.69182430834e-08	6.0	-0.0	10.0109275596	0.719205503138	11.0371295912	8.92414000431	2.11298958689	1.23677234847	1.15048818113	10	1.91141153017	0.131668471869	0.000999000999001	8.83749147282e-14	1.14887389147e-12
11	cosine	24.0	0.0	12.0	-0.0	0.193413931812	0.596793177502	9.94983397405	0.709564745632	11.0894670572	8.86727381787	2.22219323933	1.25060613724	1.1487214651	10	1.78599549126	0.117162508567	0.000999000999001	1.31104607884e-12	8.52179951243e-12
6	cosine	24.0	0.0	18.0	-0.0	6.0	-0.0	9.97351140032	0.716974773647	10.9915071398	8.98347196144	2.00803517836	1.22352551296	1.15046318619	10	1.62969452823	0.101416983287	0.000999000999001	3.68288976366e-11	1.59591889759e-10
9	cosine	24.0	0.0	14.0	-0.0	3.80658606819	0.596793177502	10.0265683641	0.717354320261	11.1881433903	9.05885914503	2.12928424527	1.23504993412	1.14796353833	10	1.57455844188	0.0576255890125	0.000999000999001	1.18513551486e-10	3.85169042328e-10
4	cosine	24.0	0.0	20.7954975139	0.984781760655	7.20450248613	0.984781760655	10.0050702277	0.745270799773	11.0391785402	8.9117939954	2.1273845448	1.238715633	1.15624763289	10	1.53649734105	0.078421052047	0.000999000999001	2.64846209072e-10	6.53647478872e-10
10	cosine	24.0	0.0	14.7954975139	0.984781760655	1.20450248613	0.984781760655	10.005218029	0.717061862319	11.1581634437	8.8588080465	2.2993553972	1.25955584376	1.1474258004	10	1.5303230528	0.0647018034217	0.000999000999001	3.01683451787e-10	6.53647478872e-10
1	cosine	24.0	0.0	23.2045024861	0.984781760655	10.3911159193	0.799572224589	10.018679463	0.727924169051	11.0766576177	8.92147801679	2.15517960091	1.24157203513	1.15602918361	10	1.48071890561	0.0626724650292	0.000999000999001	8.56919664833e-10	1.59142223469e-09
3	cosine	24.0	0.0	20.7954975139	0.984781760655	9.0	1.00580136088	10.0127287069	0.712948777531	10.9717926645	8.96382396253	2.00796870197	1.22400804728	1.1614528444	10	1.46221972709	0.0687544287419	0.000999000999001	1.2634400389e-09	2.05309006321e-09
7	cosine	24.0	0.0	15.8011961513	1.0758780706	5.20450248613	0.984781760655	10.0113612233	0.710341964699	11.0044581094	8.92483379442	2.07962431498	1.23301546705	1.1608591879	10	1.45036840336	0.0911083286389	0.000999000999001	1.61970549791e-09	2.33957460809e-09
8	cosine	24.0	0.0	16.0	5.69182430834e-08	3.80658606819	0.596793177502	10.0353617416	0.714176922917	11.1174694426	8.79494774988	2.32252169272	1.26407452992	1.15470147791	10	1.40243897004	0.0797885871876	0.000999000999001	4.41135450261e-09	5.7347608534e-09
2	cosine	24.0	0.0	21.2045024861	0.984781760655	9.80658606819	0.596793177502	9.98888098806	0.715033629266	11.0431247855	8.74721479275	2.29590999275	1.26247326116	1.13674162224	10	1.39247251342	0.0536761641955	0.000999000999001	5.43014700299e-09	6.41744645808e-09
0	cosine	24.0	0.0	23.8065860682	0.596793177502	11.6088840807	0.799572224589	10.0064047873	0.749419862026	11.107065893	8.90766774023	2.19939815277	1.24691066359	1.15961764115	10	1.36057304259	0.0612295108589	0.000999000999001	1.0545095754e-08	1.14238537335e-08
12	cosine	24.0	0.0	12.0	-0.0	23.6088840807	0.799572224589	10.0180142757	0.692690644352	11.0868510627	8.88585454796	2.20099651474	1.24769666247	1.14308529109	10	1.35221980593	0.0373367234995	0.000999000999001	1.25422814933e-08	1.25422814933e-08
